squareFeet,bathrooms,bedrooms,full_url,url,price,price_noformat,saleDate,address,full_address,image,returned_address,latitude,longitude,accuracy
2700,2,6,http://auctions.buildingdetroit.org/Listing/Details/662059/2283-Clairmount,/Listing/Details/662059/2283-Clairmount,"$1,000 ",1000,8/15/2014,2283 Clairmount,"2283 Clairmount, Detroit, MI",Content/listingImages/20140802/5be07c0f-0203-434e-afda-e6f214e7b862_thumbcrop.jpg,"2283 Clairmount Avenue, Detroit, MI 48206, USA",42.374314,-83.10414,9
2600,2,5,http://auctions.buildingdetroit.org/Listing/Details/791826/5261-Lakewood,/Listing/Details/791826/5261-Lakewood,"$1,400 ",1400,10/7/2014,5261 Lakewood,"5261 Lakewood, Detroit, MI",Content/listingImages/20140910/b693b0a0-af39-4b13-a79a-6446f81c8986_thumbcrop.jpg,"5261 Lakewood Street, Detroit, MI 48213, USA",42.397416,-82.961781,9
2600,2,6,http://auctions.buildingdetroit.org/Listing/Details/762869/3741-Tyler,/Listing/Details/762869/3741-Tyler,"$1,000 ",1000,9/23/2014,3741 Tyler,"3741 Tyler, Detroit, MI",Content/listingImages/20140828/45f391fd-6c51-45c2-98cd-c4e5aec50aa3_thumbcrop.jpg,"3741 Tyler Street, Detroit, MI 48238, USA",42.387898,-83.130567,9
2600,2,4,http://auctions.buildingdetroit.org/Listing/Details/685848/2990-Fullerton,/Listing/Details/685848/2990-Fullerton,"$1,000 ",1000,8/27/2014,2990 Fullerton,"2990 Fullerton, Detroit, MI",Content/listingImages/20140814/910a2a1c-39ca-4353-8f75-90420c007772_thumbcrop.jpg,"2990 Fullerton Avenue, Detroit, MI 48238, USA",42.387155,-83.123431,9
2600,2,4,http://auctions.buildingdetroit.org/Listing/Details/697481/17575-Stoepel,/Listing/Details/697481/17575-Stoepel,"$7,500 ",7500,8/24/2014,17575 Stoepel,"17575 Stoepel, Detroit, MI",Content/listingImages/20140814/ca4fd5bf-5a89-40f4-a5a0-df92018c3f9f_thumbcrop.jpg,"17575 Stoepel Street, Detroit, MI 48221, USA",42.421901,-83.142325,9
2600,2,6,http://auctions.buildingdetroit.org/Listing/Details/697061/2475-Calvert,/Listing/Details/697061/2475-Calvert,"$1,000 ",1000,8/22/2014,2475 Calvert,"2475 Calvert, Detroit, MI",Content/listingImages/20140814/7cfedeae-1c85-40b7-a9f7-55a851185852_thumbcrop.jpg,"2475 Calvert Avenue, Detroit, MI 48206, USA",42.379944,-83.11104,9
2600,2,6,http://auctions.buildingdetroit.org/Listing/Details/665024/3817-Tyler,/Listing/Details/665024/3817-Tyler,"$1,000 ",1000,8/17/2014,3817 Tyler,"3817 Tyler, Detroit, MI",Content/listingImages/20140802/63df689b-d841-4083-bc57-6094aaff312a_thumbcrop.jpg,"3817 Tyler Street, Detroit, MI 48238, USA",42.387416,-83.131836,9
2600,2,6,http://auctions.buildingdetroit.org/Listing/Details/666843/3741-Tyler,/Listing/Details/666843/3741-Tyler,"$1,000 ",1000,8/17/2014,3741 Tyler,"3741 Tyler, Detroit, MI",Content/listingImages/20140802/8444bad2-1ea7-4893-b92c-120801b9b7f6_thumbcrop.jpg,"3741 Tyler Street, Detroit, MI 48238, USA",42.387898,-83.130567,9
2600,2,4,http://auctions.buildingdetroit.org/Listing/Details/657836/2293-Pingree,/Listing/Details/657836/2293-Pingree,"$1,000 ",1000,8/13/2014,2293 Pingree,"2293 Pingree, Detroit, MI",Content/listingImages/20140802/4004afea-f6dd-4a9b-9429-2621f3f91ed7_thumbcrop.jpg,"2293 Pingree Street, Detroit, MI 48206, USA",42.370159,-83.101605,9
2500,2.1,4,http://auctions.buildingdetroit.org/Listing/Details/556654/9530-St-Marys,/Listing/Details/556654/9530-St-Marys,"$11,600 ",11600,7/14/2014,9530 St. Mary's,"9530 St. Mary's, Detroit, MI",Content/listingImages/20140703/2e56d428-50ea-4efa-b427-6554894c6abd_thumbcrop.jpg,"9530 Saint Marys Street, Detroit, MI 48227, USA",42.365801,-83.204053,9
2500,2.1,4,http://auctions.buildingdetroit.org/Listing/Details/925405/9530-St-Marys,/Listing/Details/925405/9530-St-Marys,"$20,100 ",20100,11/14/2014,9530 St. Marys,"9530 St. Marys, Detroit, MI",Content/listingImages/20141017/d7106f78-63ee-4370-86b7-4e8116771166_thumbcrop.jpg,"9530 Saint Marys Street, Detroit, MI 48227, USA",42.365801,-83.204053,9
2500,2,4,http://auctions.buildingdetroit.org/Listing/Details/639092/5903-Kensington,/Listing/Details/639092/5903-Kensington,"$5,800 ",5800,8/10/2014,5903 Kensington,"5903 Kensington, Detroit, MI",Content/listingImages/20140725/08633ab9-e2d0-4685-b4f5-f0ea39ffe904_thumbcrop.jpg,"5903 Kensington Avenue, Detroit, MI 48224, USA",42.410714,-82.939592,8
2400,2.1,5,http://auctions.buildingdetroit.org/Listing/Details/701220/17134-Pennington,/Listing/Details/701220/17134-Pennington,"$7,000 ",7000,8/22/2014,17134 Pennington,"17134 Pennington, Detroit, MI",Content/listingImages/20140814/9e16fd4f-d39b-4c77-88c9-4725028980fb_thumbcrop.jpg,"17134 Pennington Drive, Detroit, MI 48221, USA",42.417705,-83.147057,9
2400,2,4,http://auctions.buildingdetroit.org/Listing/Details/911975/17527-Stoepel,/Listing/Details/911975/17527-Stoepel,"$12,600 ",12600,11/10/2014,17527 Stoepel,"17527 Stoepel, Detroit, MI",Content/listingImages/20141015/97378146-ae0c-4c4d-b0d2-351314be7dc8_thumbcrop.jpg,"17527 Stoepel Street, Detroit, MI 48221, USA",42.421256,-83.1423,9
2400,2,6,http://auctions.buildingdetroit.org/Listing/Details/693652/17184-Warrington,/Listing/Details/693652/17184-Warrington,"$9,900 ",9900,8/25/2014,17184 Warrington,"17184 Warrington, Detroit, MI",Content/listingImages/20140814/c38d918d-dded-478f-99c6-345076eb2499_thumbcrop.jpg,"17184 Warrington Drive, Detroit, MI 48221, USA",42.41846,-83.139472,9
2400,2,6,http://auctions.buildingdetroit.org/Listing/Details/664221/4332-Waverly,/Listing/Details/664221/4332-Waverly,"$1,000 ",1000,8/18/2014,4332 Waverly,"4332 Waverly, Detroit, MI",Content/listingImages/20140802/5254ec97-d22e-4bed-a7ba-21882ec7cd40_thumbcrop.jpg,"4332 Waverly Street, Detroit, MI 48238, USA",42.386736,-83.137238,9
2400,2,4,http://auctions.buildingdetroit.org/Listing/Details/654099/1710-Hazelwood,/Listing/Details/654099/1710-Hazelwood,"$1,000 ",1000,8/16/2014,1710 Hazelwood,"1710 Hazelwood, Detroit, MI",Content/listingImages/20140802/e0d7a0d4-b6f1-45bf-9705-0c180a07d7bb_thumbcrop.jpg,"1710 Hazelwood Street, Detroit, MI 48206, USA",42.375334,-83.097517,9
2400,2,4,http://auctions.buildingdetroit.org/Listing/Details/657084/2284-W-Philadelphia,/Listing/Details/657084/2284-W-Philadelphia,"$1,000 ",1000,8/13/2014,2284 W. Philadelphia,"2284 W. Philadelphia, Detroit, MI",Content/listingImages/20140802/ce3c262e-0fff-4cbb-93d1-8ef6a53dd974_thumbcrop.jpg,"2284 West Philadelphia Street, Detroit, MI 48206, USA",42.369843,-83.101255,9
2400,1.1,5,http://auctions.buildingdetroit.org/Listing/Details/680583/3219-Glendale,/Listing/Details/680583/3219-Glendale,"$1,000 ",1000,8/29/2014,3219 Glendale,"3219 Glendale, Detroit, MI",Content/listingImages/20140814/16d3e06d-3c22-454b-ac0f-f7d8f1884e4a_thumbcrop.jpg,"3219 Glendale Avenue, Detroit, MI 48238, USA",42.387755,-83.125645,9
2350,2,4,http://auctions.buildingdetroit.org/Listing/Details/381969/4722-Avery,/Listing/Details/381969/4722-Avery,"$87,100 ",87100,5/21/2014,4722 Avery,"4722 Avery, Detroit, MI",Content/listingImages/20140520/ff75122f-e54c-48a9-b461-b11b33e59a1a_thumbcrop.jpg,"4722 Avery Street, Detroit, MI 48208, USA",42.349666,-83.079706,9
2300,2.1,4,http://auctions.buildingdetroit.org/Listing/Details/626523/2264-Longfellow,/Listing/Details/626523/2264-Longfellow,"$29,100 ",29100,8/4/2014,2264 Longfellow,"2264 Longfellow, Detroit, MI",Content/listingImages/20140725/5f9fc2b7-48b1-428a-a42b-0a783e0b3b59_thumbcrop.jpg,"2264 Longfellow Street, Detroit, MI 48206, USA",42.37753,-83.10587,9
2300,2,4,http://auctions.buildingdetroit.org/Listing/Details/868725/591719-Yorkshire,/Listing/Details/868725/591719-Yorkshire,"$1,000 ",1000,10/27/2014,5917-19 Yorkshire,"5917-19 Yorkshire, Detroit, MI",Content/listingImages/20141010/d083926b-73ae-425d-b999-abfd159febfd_thumbcrop.jpg,"5917 Yorkshire Road, Detroit, MI 48224, USA",42.411364,-82.938635,8
2300,2,6,http://auctions.buildingdetroit.org/Listing/Details/957372/4376-52nd-Street,/Listing/Details/957372/4376-52nd-Street,"$2,100 ",2100,11/21/2014,4376 52nd Street,"4376 52nd Street, Detroit, MI",Content/listingImages/20141104/560f5362-8062-448e-aa6b-3b7f9c4f5739_thumbcrop.jpg,"4376 52nd Street, Detroit, MI 48210, USA",42.328433,-83.134007,9
